metabolite,shap_mean_abs
2-Nonanone,0.007115041881933197
"Dodecane, 2,6,10-trimethyl-",0.006184243314427551
Dimethyl sulfone,0.006133853779196606
"Dodecane, 2,6,10-trimethyl-",0.0058834310915420055
p-Cresol,0.005672076313397262
Benzeneacetaldehyde,0.005650331395911032
Phenylethyl Alcohol,0.005571099548014342
Indole,0.00543413631946456
n-Decanoic acid,0.0054336118849687915
cis-Calamenene,0.005327190450874662
Phenylethyl Alcohol,0.005118495451451366
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.00510176857640056
3-Carene,0.004947967268251243
"Benzeneacetaldehyde, α-ethylidene-",0.004645847310373057
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.004573025787891688
Benzeneacetaldehyde,0.004510373011157324
"Tetradecane, 3-methyl-",0.004468130736305511
3-Carene,0.004459503359827316
"1-Hexanol, 2-ethyl-",0.004374135758112367
D-Limonene,0.004285116658037849
2-Propenal,0.004252549131856949
"Propanal, 2-methyl-",0.0042390544261889295
Benzeneacetaldehyde,0.00417334116608648
Dimethyl sulfone,0.0040630571085834245
cis-Calamenene,0.004044530293185264
Benzeneacetic acid,0.004039253493985999
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.003829884025439581
"Benzeneacetaldehyde, α-ethylidene-",0.003677904400126622
p-Cresol,0.0035460342213558585
"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, [3aS-(3aα,3bβ,4β,7α,7aS*)]-",0.0033395522130025067
2-Hexadecanone,0.0033185185185185175
Caryophyllene,0.003301732783495408
"cis-Muurola-4(15),5-diene",0.0032942710438133775
Humulene,0.0032034315209260246
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.003193244166981542
Octanal,0.003160852136313107
α-Cubebene,0.003159742965167445
α-Cubebene,0.003157928885063388
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0031469785575048742
"1,3,5-Cycloheptatriene, 3,7,7-trimethyl-",0.0031108496732026136
Phenol,0.0029728499303318706
.alfa.-Copaene,0.0029359806086687807
"5-Hepten-2-one, 6-methyl-",0.0028869152939328363
"Phenol, 4-ethyl-",0.00285317975072361
"Caryophylla-4(12),8(13)-dien-5α-ol",0.002847125391645921
trans-β-Ionone,0.0028455454176472402
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",0.0028448717948717952
"Benzeneacetaldehyde, α-ethylidene-",0.0028231045819451612
"2,4-Di-tert-butylphenol",0.002799163452964623
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0.0027798278960135202
Octanal,0.0027733333333333334
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.0026840995562647943
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0026828046547344793
"4,8,12-Tetradecatrien-1-ol, 5,9,13-trimethyl-",0.0026674475980709043
2-Dodecanone,0.0026577188027480433
n-Decanoic acid,0.002652185674407897
"Butanal, 2-methyl-",0.0026320102249926818
"Benzenepropionic acid, 2-tetradecyl ester",0.0025165280488760543
"1,2,4-Metheno-1H-indene, octahydro-1,7a-dimethyl-5-(1-methylethyl)-, [1S-(1α,2α,3aβ,4α,5α,7aβ,8S*)]-",0.002491582491582491
